Key;Nieuw Wetboek van Strafvordering
116-2-0-0;2.7.26, 1
116-2-a-0;2.7.26, 1, a
116-2-b-0;2.7.26, 1, b
116-2-c-0;2.7.27, 1
116-3-0-0;2.7.26, 2
116-4-0-0;2.7.26, 3
116-5-0-0;2.7.26, 2 en 3
116-6-0-0;48617
117-1-0-0;2.7.31, 3
117-2-0-0;2.7.31, 1
117-2-a-0;2.7.31, 1, a
117-2-b-0;2.7.31, 1, b
117-2-c-0;2.7.31, 1, c
117-2-0-0;2.7.31, 3
117-3-0-0;2.7.31, 4
117-4-0-0;2.7.31, 5
117-5-0-0;2.7.31, 6
117a-0-0-0;vervallen
118-1-0-0;2.7.28, 1
118-2-0-0;2.7.28, 2
118-3-0-0;2.7.31, 1, d
118-4-0-0;47886
118-5-0-0;47886
118a-1-0-0;2.7.30, 1
118a-2-0-0;2.7.30, 2
119-1-0-0;2.7.29, 1
119-2-0-0;2.7.29, 2
119-3-0-0;47156
119-4-0-0;2.7.29, 3
119a-0-0-0;48982
124-1-0-0;1.11.10, 1
124-2-0-0;1.11.10, 2
124-3-0-0;1.11.10, 3
124-4-0-0;1.11.10, 4
124-5-0-0;1.11.10, 5
125-1-0-0;2.7.3, 1, a en e
125-2-0-0;2.7.3, 3
125i-0-0-0;2.7.37, 1
125j-1-0-0;2.7.40, 1
125j-2-0-0;2.7.40, 2
125k-1-0-0;2.7.43, 1
125k-2-0-0;2.7.43, 1
125k-3-0-0;"2.7.2; 2.7.58"
125l-0-0-0;2.7.59, 2
125la-0-0-0;2.7.42, 1
125m-1-0-0;"2.7.35, 1; 2.7.56, 2"
125m-2-0-0;"2.7.35, 2; 2.7.56, 3"
125m-3-0-0;"2.7.35, 1; 2.7.56, 2"
125m-3-a-0;"2.7.35, 1; 2.7.56, 2"
125m-3-b-0;"2.7.35, 1; 2.7.56, 2"
125m-3-c-0;"2.7.35, 1; 2.7.56, 2"
125m-4-0-0;49347
125m-5-0-0;2.7.36, 1
125n-1-0-0;bepaling over gegevensverwerking
125n-2-0-0;bepaling over gegevensverwerking
125n-3-0-0;bepaling over gegevensverwerking
125n-3-a-0;bepaling over gegevensverwerking
125n-3-b-0;bepaling over gegevensverwerking
125n-4-0-0;bepaling over gegevensverwerking
125o-1-0-0;2.7.56, 1
125o-2-0-0;2.1.1
125o-3-0-0;2.7.56, 5
125p-1-0-0;2.7.57, 1
125p-2-0-0;Besluit B2
125p-2-a-0;Besluit B2
125p-2-b-0;Besluit B2
125p-2-c-0;Besluit B2
125p-3-0-0;2.7.57, 3
125p-4-0-0;2.7.57, 2
126-1-0-0;vervallen (mvt)
126-2-0-0;vervallen (mvt)
126-3-0-0;vervallen (mvt)
126-4-0-0;vervallen (mvt)
126-5-0-0;vervallen (mvt)
126a-1-0-0;6.5.9, 1 en 3
126a-1-a-0;6.5.9, 1, a
126a-1-b-0;6.5.9, 1, b
126a-1-0-0;6.5.9, 1
126a-2-0-0;6.5.9, 2
126a-3-0-0;algemene regeling (B2T7.5)
126a-4-0-0;vervallen (mvt)
126a-5-0-0;6.5.9, 4
126b-1-0-0;6.5.10, 1
126b-2-0-0;40699
126b-3-0-0;algemene regeling (2.7.68)
126b-3-a-0;algemene regeling (2.7.68)
126b-3-b-0;algemene regeling (2.7.68)
126c-1-0-0;40699
126c-2-0-0;40699
126d-0-0-0;"algemene regeling (B2T7.5); 2.7.15"
126e-1-0-0;vervallen (mvt)
126e-2-0-0;vervallen (mvt)
126e-3-0-0;vervallen (mvt)
126f-1-0-0;vervallen (mvt)
126f-2-0-0;vervallen (mvt)
126f-3-0-0;vervallen (mvt)
126f-4-0-0;vervallen (mvt)
126f-5-0-0;vervallen (mvt)
126fa-1-0-0;vervallen (mvt)
126fa-2-0-0;vervallen (mvt)
126g-1-0-0;2.8.7, 1
126g-2-0-0;2.8.7, 4
126g-3-0-0;2.8.7, 3
126g-4-0-0;2.8.7, 2
126g-5-0-0;Besluit B2
126g-5-a-0;Besluit B2
126g-5-b-0;Besluit B2
126g-5-c-0;Besluit B2
126g-5-d-0;Besluit B2
126g-5-e-0;Besluit B2
126g-5-f-0;Besluit B2
126g-6-0-0;algemene regeling (2.1.14)
126g-7-0-0;2.8.1, 3
126g-8-0-0;2.8.1, 2
126g-9-0-0;"2.8.19; Besluit B2"
126h-1-0-0;2.8.12, 1
126h-2-0-0;2.1.4
126h-3-0-0;2.8.12, 1
126h-3-a-0;Besluit B2
126h-3-b-0;Besluit B2
126h-3-c-0;Besluit B2
126h-3-d-0;"2.8.12, 3; Besluit B2"
126h-3-e-0;Besluit B2
126h-4-0-0;2.8.12, 2
126h-5-0-0;43504
126h-6-0-0;algemene regeling (2.8.1)
126i-1-0-0;2.8.10, 1
126i-1-a-0;40217
126i-1-b-0;40217
126i-1-c-0;40217
126i-2-0-0;2.1.4
126i-3-0-0;2.8.10, 1
126i-3-a-0;Besluit B2
126i-3-b-0;Besluit B2
126i-3-c-0;Besluit B2
126i-3-d-0;"2.8.10, 2; Besluit B2"
126i-3-e-0;Besluit B2
126i-4-0-0;43869
126i-5-0-0;algemene regeling (2.8.1)
126j-1-0-0;2.8.11, 1
126j-2-0-0;2.8.11, 3
126j-3-0-0;Besluit B2
126j-3-a-0;Besluit B2
126j-3-b-0;Besluit B2
126j-3-c-0;Besluit B2
126j-3-d-0;Besluit B2
126j-4-0-0;2.8.11, 5
126j-5-0-0;43869
126j-6-0-0;algemene regeling (2.8.1)
126k-1-0-0;2.8.9, 1
126k-1-a-0;2.8.9, 1, a
126k-1-b-0;2.8.9, 1, b
126k-1-c-0;2.8.9, 1, c
126k-2-0-0;2.8.9, 1
126k-2-a-0;Besluit B2
126k-2-b-0;Besluit B2
126k-2-c-0;Besluit B2
126k-2-d-0;Besluit B2
126k-2-e-0;Besluit B2
126k-3-0-0;algemene regeling (2.8.1)
126l-1-0-0;2.8.15, 1
126l-2-0-0;2.8.15, 4
126l-3-0-0;2.8.16, 1
126l-3-a-0;Besluit B2
126l-3-b-0;Besluit B2
126l-3-c-0;Besluit B2
126l-3-d-0;Besluit B2
126l-3-e-0;Besluit B2
126l-3-f-0;Besluit B2
126l-4-0-0;2.8.15, 1 en 5
126l-5-0-0;2.8.15, 3
126l-6-0-0;algemene regeling (2.8.1)
126l-7-0-0;algemene regeling (B2T1.5)
126l-8-0-0;algemene regeling (2.1.10)
126m-1-0-0;2.8.13, 1
126m-2-0-0;2.8.13, 1
126m-2-a-0;Besluit B2
126m-2-b-0;Besluit B2
126m-2-c-0;Besluit B2
126m-2-d-0;Besluit B2
126m-2-e-0;Besluit B2
126m-3-0-0;2.8.13, 4
126m-4-0-0;2.8.13, 5
126m-5-0-0;2.8.13, 2
126m-6-0-0;2.8.13, 7
126m-7-0-0;2.8.13, 7
126m-8-0-0;"algemene regeling (B2T7.5); algemene regeling
(2.8.1); algemene regeling (2.1.13)"
126m-9-0-0;vervallen (mvt)
126ma-1-0-0;Boek 8
126ma-2-0-0;Boek 8
126ma-3-0-0;Boek 8
126n-1-0-0;2.7.46, 1
126n-1-a-0;2.7.46, 1
126n-1-b-0;"2.7.49, 1; Besluit B2"
126n-2-0-0;"2.7.46,  2; 2.7.58"
126n-3-0-0;"2.7.49, 4; Besluit B2"
126n-4-0-0;Besluit B2
126n-4-a-0;Besluit B2
126n-4-b-0;Besluit B2
126n-4-c-0;Besluit B2
126n-4-d-0;Besluit B2
126n-4-e-0;Besluit B2
126n-5-0-0;2.7.49, 6
126n-6-0-0;56652
126na-1-0-0;2.7.47, 3
126na-2-0-0;2.7.47, 4
126na-3-0-0;Besluit B2
126na-4-0-0;56652
126nb-1-0-0;2.8.14, 1, a
126nb-2-0-0;2.8.14, 1, a
126nb-3-0-0;"2.8.14, 2; Besluit B2"
126nb-3-a-0;Besluit B2
126nb-3-b-0;Besluit B2
126nb-4-0-0;bepaling over gegevensverwerking
126nba-1-0-0;2.8.16, 1
126nba-1-a-0;2.8.16, 1, a
126nba-1-b-0;2.8.16, 1, b
126nba-1-c-0;2.8.16, 1, c
126nba-1-d-0;2.8.16, 1, d en 2
126nba-1-e-0;2.8.16, 1, e en 2
126nba-2-0-0;2.8.16, 1
126nba-2-a-0;Besluit B2
126nba-2-b-0;Besluit B2
126nba-2-c-0;Besluit B2
126nba-2-d-0;Besluit B2
126nba-2-e-0;Besluit B2
126nba-2-f-0;Besluit B2
126nba-2-g-0;Besluit B2
126nba-2-h-0;Besluit B2
126nba-3-0-0;2.8.13, 3
126nba-4-0-0;algemene regeling (B2T1.5)
126nba-5-0-0;algemene regeling (B2T1.5)
126nba-6-0-0;2.8.16, 4
126nba-7-0-0;2.8.16, 7
126nba-8-0-0;2.8.16, 5
126nba-8-a-0;2.8.16, 5, a
126nba-8-b-0;2.8.16, 5, b
126nba-9-0-0;2.8.16, 6
126nc-1-0-0;2.7.46, 1 en 4
126nc-2-0-0;2.7.46, 4
126nc-2-a-0;2.7.46, 4, a
126nc-2-b-0;2.7.46, 4, b
126nc-2-c-0;2.7.46, 4, d
126nc-2-d-0;2.7.46, 4, c
126nc-3-0-0;"2.7.2; 2.7.58; 2.7.46, 3"
126nc-4-0-0;2.7.46, 1
126nc-4-a-0;Besluit B2
126nc-4-b-0;Besluit B2
126nc-4-c-0;Besluit B2
126nc-4-d-0;Besluit B2
126nc-5-0-0;algemene regeling (B2T1.5)
126nc-6-0-0;algemene regeling 2.1.10
126nc-6-a-0;Besluit B2
126nc-6-b-0;Besluit B2
126nc-6-c-0;Besluit B2
126nc-6-d-0;Besluit B2
126nc-7-0-0;56652
126nd-1-0-0;2.7.46, 1
126nd-2-0-0;"2.7.2; 2.7.46, 2 en 3; 2.7.58"
126nd-3-0-0;2.7.46, 1
126nd-3-a-0;Besluit B2
126nd-3-b-0;Besluit B2
126nd-3-c-0;Besluit B2
126nd-4-0-0;2.7.44, 1 en 2
126nd-5-0-0;algemene regeling 2.1.10
126nd-5-a-0;Besluit B2
126nd-5-b-0;Besluit B2
126nd-5-c-0;Besluit B2
126nd-5-d-0;Besluit B2
126nd-5-e-0;Besluit B2
126nd-6-0-0;2.7.68, 2
126nd-7-0-0;56652
126nda-1-0-0;2.7.46, 1 en 4, e
126nda-2-0-0;"2.7.2; 2.7.46, 2 en 3; 2.7.58"
126nda-3-0-0;"2.7.44, 1; Besluit B2"
126nda-4-0-0;Besluit B2
126nda-4-a-0;Besluit B2
126nda-4-b-0;Besluit B2
126nda-4-c-0;Besluit B2
126nda-4-d-0;Besluit B2
126ne-1-0-0;"2.7.49, 1 en 3; 2.7.55; Besluit B2"
126ne-2-0-0;2.7.49, 6 en 7
126ne-3-0-0;2.7.49, 2
126nf-1-0-0;2.7.46, 1
126nf-2-0-0;"2.7.2; 2.7.58"
126nf-3-0-0;algemene regeling (B2T1.5)
126nf-4-0-0;"2.7.44, 1; 2.7.55; Besluit B2"
126ng-1-0-0;"2.7.46, 1; 2.7.47, 1"
126ng-2-0-0;"2.7.46, 1; 2.7.48, 1"
126ng-3-0-0;"2.7.2; 2.7.58"
126ng-4-0-0;2.4.48, 1
126ng-5-0-0;"2.7.44, 1; 2.7.55; Besluit B2"
126nh-1-0-0;55556
126nh-2-0-0;"2.7.2; 2.7.58"
126ni-1-0-0;"2.7.2; 2.7.45, 1"
126ni-2-0-0;2.7.45, 2
126ni-3-0-0;amvb 4.3.8
126ni-3-a-0;Besluit B2
126ni-3-b-0;Besluit B2
126ni-3-c-0;Besluit B2
126ni-3-d-0;Besluit B2
126ni-3-e-0;Besluit B2
126ni-4-0-0;algemene regeling 2.1.10
126ni-4-a-0;Besluit B2
126ni-4-b-0;Besluit B2
126ni-4-c-0;Besluit B2
126ni-5-0-0;2.7.45, 3
126o-1-0-0;2.8.7, 1
126o-2-0-0;2.8.7, 4
126o-3-0-0;2.8.7, 3
126o-4-0-0;2.8.7, 1
126o-4-a-0;Besluit B2
126o-4-b-0;Besluit B2
126o-4-c-0;Besluit B2
126o-4-d-0;Besluit B2
126o-4-e-0;Besluit B2
126o-4-f-0;Besluit B2
126o-5-0-0;"2.8.1, 2 en 3; 2.8.7, 2"
126o-6-0-0;"2.8.20; Besluit B2"
126p-1-0-0;"2.8.12, 1; 2.8.22"
126p-2-0-0;2.1.4
126p-3-0-0;2.8.12, 1
126p-3-a-0;Besluit B2
126p-3-b-0;Besluit B2
126p-3-c-0;"2.8.12, 3; Besluit B2"
126p-3-d-0;Besluit B2
126p-4-0-0;"2.8.12, 2; 2.8.20"
126p-5-0-0;algemene regeling (2.8.1)
126q-1-0-0;"2.8.10; 2.8.22"
126q-1-a-0;2.8.10, 1
126q-1-b-0;2.8.10, 1
126q-1-c-0;2.8.10, 1
126q-2-0-0;2.1.4
126q-3-0-0;2.8.10, 1
126q-3-a-0;Besluit B2
126q-3-b-0;Besluit B2
126q-3-c-0;Besluit B2
126q-3-d-0;"2.8.10, 2; Besluit B2"
126q-3-e-0;Besluit B2
126q-4-0-0;43869
126q-5-0-0;algemene regeling (2.8.1)
126qa-1-0-0;"2.8.11, 1; 2.8.22"
126qa-2-0-0;2.8.11, 3
126qa-3-0-0;2.8.11, 1
126qa-3-a-0;Besluit B2
126qa-3-b-0;Besluit B2
126qa-3-c-0;Besluit B2
126qa-3-d-0;Besluit B2
126qa-3-e-0;Besluit B2
126qa-4-0-0;"2.8.11, 4; 2.8.20"
126qa-5-0-0;algemene regeling (2.8.1)
126r-1-0-0;"2.8.9, 1; 2.8.22"
126r-1-a-0;2.8.9, 1, a
126r-1-b-0;2.8.9, 1, b
126r-1-c-0;2.8.9, 1, c
126r-2-0-0;2.8.9, 1
126r-2-a-0;Besluit B2
126r-2-b-0;Besluit B2
126r-2-c-0;Besluit B2
126r-2-d-0;Besluit B2
126r-2-e-0;Besluit B2
126r-3-0-0;algemene regeling (2.8.1)
126s-1-0-0;"2.8.15, 1; 2.8.22"
126s-2-0-0;2.8.15, 4
126s-3-0-0;2.8.15, 1
126s-3-a-0;Besluit B2
126s-3-b-0;Besluit B2
126s-3-c-0;Besluit B2
126s-3-d-0;Besluit B2
126s-3-e-0;Besluit B2
126s-3-f-0;Besluit B2
126s-4-0-0;algemene regeling (2.1.14)
126s-5-0-0;2.8.15, 3
126s-6-0-0;algemene regeling  (2.8.1)
126s-7-0-0;algemene regeling (2.1.14)
126s-8-0-0;algemene regeling (2.1.10)
126t-1-0-0;2.8.13, 1
126t-2-0-0;2.8.13, 1
126t-2-a-0;Besluit B2
126t-2-b-0;Besluit B2
126t-2-c-0;Besluit B2
126t-2-d-0;Besluit B2
126t-2-e-0;Besluit B2
126t-2-f-0;Besluit B2
126t-3-0-0;2.8.13, 4
126t-4-0-0;2.8.13, 5
126t-5-0-0;2.8.13, 2
126t-6-0-0;2.8.13, 7
126t-7-0-0;2.7.2
126t-8-0-0;"2.8.13, 7; algemene regeling 2.1.14; algemene
regeling 2.8.1; 2.7.58"
126t-9-0-0;vervallen (mvt)
126ta-1-0-0;Boek 8
126ta-2-0-0;Boek 8
126ta-3-0-0;Boek 8
126u-1-0-0;"2.7.53; 2.7.47, 1"
126u-1-a-0;2.7.47, 1
126u-1-b-0;"2.7.49, 1; Besluit B2"
126u-2-0-0;"2.7.47, 2; 2.7.58"
126u-3-0-0;"2.7.49, 4; Besluit B2"
126u-4-0-0;Besluit B2
126u-4-a-0;Besluit B2
126u-4-b-0;Besluit B2
126u-4-c-0;Besluit B2
126u-4-d-0;Besluit B2
126u-4-e-0;Besluit B2
126u-5-0-0;2.7.49, 6
126u-6-0-0;56652
126ua-1-0-0;"2.7.47, 3; 2.7.53"
126ua-2-0-0;2.7.47, 4
126ua-3-0-0;Besluit B2
126ua-4-0-0;56652
126ub-0-0-0;2.8.14, 1, a, en 2
126uba-1-0-0;"2.8.16, 1; 2.8.22"
126uba-1-a-0;2.8.16, 1, a
126uba-1-b-0;2.8.16, 1, b
126uba-1-c-0;2.8.16, 1, c
126uba-1-d-0;2.8.16, 1, d en 2
126uba-1-e-0;2.8.16, 1, e en 2
126uba-2-0-0;2.8.1, 1
126uba-2-a-0;Besluit B2
126uba-2-b-0;Besluit B2
126uba-2-c-0;Besluit B2
126uba-2-d-0;Besluit B2
126uba-2-e-0;Besluit B2
126uba-2-f-0;Besluit B2
126uba-2-g-0;Besluit B2
126uba-2-h-0;Besluit B2
126uba-3-0-0;2.8.16, 3, 4, 5, en 7
126uc-1-0-0;"2.7.46, 1 en 4; 2.7.53, a"
126uc-2-0-0;"2.7.2; 2.7.46, 1 en 4; algemene regeling 2.1.13"
126uc-3-0-0;algemene regeling 2.1.10
126uc-3-a-0;Besluit B2
126uc-3-b-0;Besluit B2
126uc-3-c-0;Besluit B2
126uc-3-d-0;Besluit B2
126ud-1-0-0;"2.7.46, 1; 2.7.53, a"
126ud-2-0-0;"2.7.2; 2.7.46, 2 en 3; 2.7.44, 1 en 2; 2.7.55"
126ud-3-0-0;algemene regeling 2.1.10
126ud-3-a-0;Besluit B2
126ud-3-b-0;Besluit B2
126ud-3-c-0;Besluit B2
126ud-3-d-0;Besluit B2
126ud-3-e-0;Besluit B2
126ue-1-0-0;"2.7.49; 2.7.2; 2.7.46; 2.7.53, a; algemene regeling
2.1.9; Besluit B2"
126ue-2-0-0;2.7.49, 6 en 7
126ue-3-0-0;2.7.49, 2
126uf-1-0-0;"2.7.46, 3; 2.7.53, a"
126uf-2-0-0;"2.7.2; 2.7.46, 2; 2.7.44; 2.7.56; Besluit B2; algemene
regeling 2.1.13"
126uf-3-0-0;algemene regeling 2.1.10
126uf-3-a-0;Besluit B2
126uf-3-b-0;Besluit B2
126uf-3-c-0;Besluit B2
126uf-3-d-0;Besluit B2
126uf-3-e-0;Besluit B2
126ug-1-0-0;"2.7.46, 1; 2.7.47, 1"
126ug-2-0-0;"2.7.48, 1; 2.7.53, a"
126ug-3-0-0;"2.7.2; 2.7.58"
126ug-4-0-0;2.7.48, 1
126ug-5-0-0;Besluit B2
126uh-1-0-0;55556
126uh-2-0-0;"2.7.2; 2.7.58"
126ui-1-0-0;"2.7.45, 1; 2.7.2; 2.7.53, a"
126ui-2-0-0;"2.7.45, 2 en 3; algemene regeling 2.1.10; Besluit B2"
126v-1-0-0;2.8.19, 1, b
126v-2-0-0;2.8.19, 3
126v-2-a-0;Besluit B2
126v-2-b-0;Besluit B2
126v-2-c-0;Besluit B2
126v-2-d-0;Besluit B2
126v-2-e-0;Besluit B2
126v-3-0-0;2.8.19, 4
126v-3-a-0;2.8.19, 4, b en c
126v-3-b-0;2.8.19, 4, d
126v-4-0-0;2.8.19, 5 en 7
126w-1-0-0;2.8.19, 1, c
126w-2-0-0;2.8.19, 2
126w-3-0-0;2.8.19, 8
126w-4-0-0;2.8.19, 3
126w-4-a-0;Besluit B2
126w-4-b-0;Besluit B2
126w-4-c-0;Besluit B2
126w-5-0-0;2.8.19, 4
126w-5-a-0;2.8.19, 4, b en c
126w-5-b-0;2.8.19, 4, d
126w-6-0-0;2.8.19, 9
126w-7-0-0;2.8.19, 7
126w-8-0-0;2.8.19, 5 en 6
126x-1-0-0;"2.8.19, 1, c; 2.8.22"
126x-2-0-0;2.8.19, 2
126x-3-0-0;2.8.19, 8
126x-4-0-0;"2.8.19, 3, 4, 5, 6, 7, 9; Besluit B2"
126ij-1-0-0;"2.8.19, 1; 2.8.23"
126ij-1-a-0;2.8.19, 1, a
126ij-1-b-0;2.8.19, 1, a
126ij-1-c-0;2.8.19, 1, a
126ij-2-0-0;2.8.19, 2
126ij-3-0-0;2.8.19, 8
126ij-4-0-0;2.8.19, 1
126ij-4-a-0;Besluit B2
126ij-4-b-0;Besluit B2
126ij-4-c-0;Besluit B2
126ij-5-0-0;2.8.19, 4
126ij-5-a-0;2.8.19, 4, b en c
126ij-5-b-0;2.8.19, 4, d
126ij-6-0-0;2.8.19, 5, 6, 7
126z-1-0-0;"2.8.19, 1, a; 2.8.22"
126z-2-0-0;2.8.19, 2
126z-3-0-0;2.8.19, 8
126z-4-0-0;"2.8.19, 4, 5, 6 en 7; Besluit B2"
126za-1-0-0;2.8.1, 1 en 2
126za-2-0-0;Besluit B2
126za-3-0-0;algemene regeling (B2T1.5)
126za-4-0-0;2.1.15, 2
126za-5-0-0;2.8.1, 2
126zb-1-0-0;algemene regeling (B2T1.5)
126zb-2-0-0;algemene regeling (B2T1.5)
126zb-3-0-0;algemene regeling (B2T1.5)
126zc-0-0-0;43869
126zd-1-0-0;2.8.22, 2
126zd-1-a-0;2.8.7, 1
126zd-1-b-0;2.8.10, 1
126zd-1-c-0;2.8.11, 1
126zd-1-d-0;2.8.9, 1
126zd-2-0-0;2.1.4
126zd-3-0-0;2.8.7, 4
126zd-4-0-0;2.8.7, 3
126zd-5-0-0;2.8.7, 2
126ze-1-0-0;"2.8.12, 1; 2.8.22, 2"
126ze-2-0-0;2.1.4
126ze-3-0-0;2.8.12, 1
126ze-3-a-0;Besluit B2
126ze-3-b-0;Besluit B2
126ze-3-c-0;Besluit B2
126zf-1-0-0;"2.8.15, 1; 2.8.22, 2"
126zf-2-0-0;2.8.15, 4
126zf-3-0-0;"2.8.15, 1; Besluit B2"
126zf-3-a-0;Besluit B2
126zf-3-b-0;Besluit B2
126zf-3-c-0;Besluit B2
126zf-4-0-0;2.8.15, 3
126zf-5-0-0;algemene regeling 2.1.10
126zg-1-0-0;"2.8.13, 1; 2.8.22, 2"
126zg-2-0-0;"2.8.13, 1; Besluit B2"
126zg-2-a-0;Besluit B2
126zg-2-b-0;Besluit B2
126zg-2-c-0;Besluit B2
126zg-3-0-0;2.8.13, 4
126zg-4-0-0;2.8.13, 5
126zg-5-0-0;2.8.13, 2 en 7
126zga-1-0-0;Boek 8
126zga-2-0-0;Boek 8
126zga-3-0-0;Boek 8
126zh-1-0-0;"2.7.46, 1; 2.7.53"
126zh-1-a-0;2.7.46, 1
126zh-1-b-0;"2.7.49, 1; Besluit B2"
126zh-2-0-0;"2.7.47, 1; 2.7.49, 4 en 6; 2.7.58; Besluit B2"
126zi-1-0-0;"2.7.47, 2 en 3; 2.7.53; 2.7.58"
126zi-2-0-0;2.7.48, 4
126zi-3-0-0;"2.7.55; Besluit B2"
126zj-0-0-0;"2.8.14, 1, a en 2; Besluit B2"
126zja-1-0-0;"2.7.45, 1; 2.7.2; 2.7.53"
126zja-2-0-0;"2.7.46, 2 en 3; algemene regeling 2.1.9; amvb 3.1.1;
amvb 4.3.8"
126zk-1-0-0;"2.7.46, 1; 2.7.53"
126zk-2-0-0;"2.7.46, 1 en 3; 2.7.55; 2.7.58; 2.7.2; Besluit B2"
126zl-1-0-0;"2.7.46, 1; 2.7.53"
126zl-2-0-0;"2.7.46, 1, 2 en 3; 2.7.2; 2.7.53; 2.7.58;  algemene
regeling 2.1.10; Besluit B2"
126zm-1-0-0;"2.7.49, 1 en 3; 2.7.46, 1, 2 en 3; 2.7.2; 2.7.53;
2.7.58;  algemene regeling 2.1.10; Besluit B2"
126zm-2-0-0;2.7.49, 6 en 7
126zm-3-0-0;2.7.49, 2
126zn-1-0-0;"2.7.46, 3; 2.7.53"
126zn-2-0-0;"2.7.2; 2.7.44; 2.7.55; 2.7.58; Besluit B2"
126zo-1-0-0;"2.7.47, 1; 2.7.53"
126zo-2-0-0;2.7.48, 1
126zo-3-0-0;"2.7.2; 2.7.44; 2.7.55; 2.7.58; Besluit B2"
126zp-1-0-0;55556
126zp-2-0-0;"2.7.2; 2.7.58"
126zpa-1-0-0;"2.8.16, 1; 2.7.53"
126zpa-1-a-0;2.8.16, 1, a
126zpa-1-b-0;2.8.16, 1, b
126zpa-1-c-0;2.8.16, 1, c
126zpa-1-d-0;2.8.16, 1, d en 2
126zpa-1-e-0;2.8.16, 1, e en 2
126zpa-2-0-0;2.8.16, 1
126zpa-2-a-0;Besluit B2
126zpa-2-b-0;Besluit B2
126zpa-2-c-0;Besluit B2
126zpa-2-d-0;Besluit B2
126zpa-2-e-0;Besluit B2
126zpa-2-f-0;Besluit B2
126zpa-3-0-0;2.8.16, 3, 4, 5, 6, 7
126zq-1-0-0;6.5.6, 1
126zq-2-0-0;6.5.6, 2
126zq-3-0-0;6.5.6, 3
126zq-4-0-0;6.5.6, 4
126zr-1-0-0;6.5.7, 1
126zr-2-0-0;6.5.7, 2
126zr-2-a-0;6.5.7, 2, a
126zr-2-b-0;6.5.7, 2, b
126zr-2-c-0;6.5.7, 2, c
126zr-3-0-0;6.5.7, 3
126zs-1-0-0;6.5.8, 1
126zs-2-0-0;6.5.8, 2
126zs-3-0-0;6.5.8, 3
126zs-4-0-0;6.5.8, 4
126zsa-0-0-0;vervallen (mvt)
126zt-1-0-0;"2.8.19, 1; 2.8.22"
126zt-1-a-0;2.8.19, 1, a
126zt-1-b-0;2.8.19, 1, b
126zt-2-0-0;2.8.19, 2, 4, 7, 8
126zt-3-0-0;2.8.19, 4, 5
126zu-1-0-0;"2.8.19, 1, c; 2.8.22"
126zu-2-0-0;"2.8.19, 3, 4, 5, 9; Besluit B2"
126aa-1-0-0;algemene regeling (B1T8.1)
126aa-2-0-0;2.8.3, 1, 2 en 3
126aa-3-0-0;algemene regeling (B1T8.1)
126aa-4-0-0;algemene regeling (B1T8.1)
126aa-5-0-0;algemene regeling (B1T8.1)
126bb-1-0-0;"2.7.51, 1; 2.8.2, 1"
126bb-2-0-0;"2.7.51, 1; 2.8.2, 2"
126bb-2-a-0;"2.7.51, 1; 2.8.2, 2, a"
126bb-2-b-0;2.8.2, 2, b
126bb-2-c-0;2.8.2, 2, c
126bb-3-0-0;"2.7.51, 2; 2.8.2, 3"
126bb-4-0-0;2.7.51, 3
126bb-5-0-0;2.7.36, 1
126cc-1-0-0;bepaling over gegevensverwerking
126cc-2-0-0;bepaling over gegevensverwerking
126cc-3-0-0;bepaling over gegevensverwerking
126cc-4-0-0;bepaling over gegevensverwerking
126cc-5-0-0;bepaling over gegevensverwerking
126cc-6-0-0;bepaling over gegevensverwerking
126dd-1-0-0;bepaling over gegevensverwerking
126dd-1-a-0;bepaling over gegevensverwerking
126dd-1-b-0;bepaling over gegevensverwerking
126dd-2-0-0;bepaling over gegevensverwerking
126ee-0-0-0;2.8.4
126ee-0-a-0;2.8.4, a
126ee-0-b-0;2.8.4, c
126ee-0-c-0;2.8.4, d
126ee-0-d-0;2.8.4, e
126ee-0-e-0;2.8.4, f
126ff-1-0-0;2.8.5, 1
126ff-2-0-0;2.8.5, 2
126ff-3-0-0;2.8.5, 2
126ff-3-a-0;Besluit B2
126ff-3-b-0;Besluit B2
126ff-3-c-0;Besluit B2
126ff-4-0-0;2.8.5, 3
126ffa-1-0-0;2.8.6, 1
126ffa-2-0-0;2.8.6, 1
126ffa-2-a-0;Besluit B2
126ffa-2-b-0;Besluit B2
126ffa-3-0-0;2.8.6, 1
126ffa-4-0-0;2.8.6, 2
126gg-1-0-0;2.9.1, 1
126gg-2-0-0;2.9.1, 2, b
126hh-1-0-0;"2.9.1, 2; 2.8.22; 2.7.53"
126hh-2-0-0;bepaling over gegevensverwerking
126hh-3-0-0;bepaling over gegevensverwerking
126hh-4-0-0;bepaling over gegevensverwerking
126hh-4-a-0;bepaling over gegevensverwerking
126hh-4-b-0;bepaling over gegevensverwerking
126hh-4-c-0;bepaling over gegevensverwerking
126hh-5-0-0;bepaling over gegevensverwerking
126hh-5-a-0;bepaling over gegevensverwerking
126hh-5-b-0;bepaling over gegevensverwerking
126hh-6-0-0;bepaling over gegevensverwerking
126hh-7-0-0;bepaling over gegevensverwerking
126ii-1-0-0;"2.9.1; 2.8.22;2.7.53; 2.7.46, 1"
126ii-2-0-0;"2.7.47, 1 en 3; 2.9.1."
126ii-3-0-0;algemene regeling 2.1.10
126ii-3-a-0;Besluit B2
126ii-3-b-0;Besluit B2
126jj-1-0-0;6.5.13, 1
